City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,abu dhabi,24.4667,54.3667,-520.77,63,20,1.03,AE,1702254389
199,constantia,44.1833,28.65,-545.9099999999999,85,50,4.18,RO,1702254011
200,xilin hot,43.9667,116.0333,-563.38,79,100,2.95,CN,1702254425
201,kone,-21.0595,164.8658,-515.75,39,79,2.3,NC,1702253825
202,praia da vitoria,38.7333,-27.0667,-528.66,82,0,6.12,PT,1702253884
203,molochnyy,68.8539,33.0205,-559.99,77,75,3.0,RU,1702254426
204,crane,31.3974,-102.3501,-536.8899999999999,23,2,2.27,US,1702253931
205,carnarvon,-24.8667,113.6333,-518.36,23,0,9.8,AU,1702253847
206,jiuquan,39.7432,98.5174,-548.8,44,95,3.99,CN,1702254427
207,nalut,30.3333,10.85,-537.1399999999999,55,0,4.17,LY,1702254427
208,antofagasta,-23.65,-70.4,-527.6999999999999,76,52,1.42,CL,1702253872
209,prado,-17.3411,-39.2208,-522.3899999999999,86,1,0.91,BR,1702254428
210,bubaque,11.2833,-15.8333,-518.0799999999999,63,100,4.48,GW,1702253895
211,la ronge,55.1001,-105.2842,-550.1599999999999,74,100,3.6,CA,1702253989
212,basco,20.4487,121.9702,-519.3,75,50,7.81,PH,1702254429
213,walvis bay,-22.9575,14.5053,-529.5799999999999,77,14,3.6,,1702254114
214,mana,5.6592,-53.7767,-520.49,89,28,3.33,GF,1702254430
215,kenai,60.5544,-151.2583,-551.2199999999999,93,100,14.4,US,1702254430
216,nagqu,31.5,92.0,-560.1999999999999,48,9,1.78,CN,1702253946
217,petropavlovsk-kamchatsky,53.0452,158.6483,-545.9699999999999,95,100,6.71,RU,1702253856
218,warrnambool,-38.3833,142.4833,-528.65,78,100,7.78,AU,1702254335
219,mount gambier,-37.8333,140.7667,-530.68,93,100,5.77,AU,1702253982
220,anadyr,64.75,177.4833,-571.8599999999999,75,20,5.0,RU,1702253826
221,kilindoni,-7.9139,39.6668,-519.4799999999999,81,85,3.57,TZ,1702254432
222,nuuk,64.1835,-51.7216,-547.9599999999999,74,100,6.69,GL,1702253960
223,queenstown,-31.8976,26.8753,-535.01,91,100,1.23,ZA,1702254433
224,invercargill,-46.4,168.35,-529.8999999999999,47,60,6.73,NZ,1702253842
225,penzance,50.1186,-5.5371,-534.92,83,8,12.23,GB,1702254434
226,kingston,17.997,-76.7936,-517.77,73,20,7.72,JM,1702254411
227,villa gesell,-37.2639,-56.973,-526.27,83,4,5.49,AR,1702254435
228,colonia,50.9333,6.95,-534.6999999999999,78,75,5.14,DE,1702253983
229,champerico,14.3,-91.9167,-516.0,75,16,3.34,GT,1702254436
230,mcalester,34.9334,-95.7697,-541.55,52,40,0.0,US,1702254436
231,aktau,43.65,51.2,-549.9799999999999,94,100,4.45,KZ,1702254362
232,fort bragg,35.139,-79.006,-526.9599999999999,93,100,3.6,US,1702253871
233,lesnoy,57.6198,63.0784,-580.27,98,16,2.0,RU,1702254437
234,inirida,3.8653,-67.9239,-520.9799999999999,81,37,0.48,CO,1702254061
235,avarua,-21.2078,-159.775,-520.27,83,100,11.83,CK,1702253842
236,alice springs,-23.7,133.8833,-529.55,48,100,5.9,AU,1702253866
237,cidreira,-30.1811,-50.2056,-526.31,94,99,8.44,BR,1702254438
238,lazaro cardenas,17.9583,-102.2,-519.54,70,100,0.96,MX,1702253894
239,monchegorsk,67.9397,32.8739,-561.9599999999999,95,100,3.64,RU,1702254258
240,kirensk,57.7853,108.1119,-579.6499999999999,99,97,1.34,RU,1702254439
241,rongelap,11.1635,166.8941,-518.99,77,98,9.2,MH,1702254068
242,karratha,-20.7377,116.8463,-518.6899999999999,19,7,10.78,AU,1702253881
243,eirunepe,-6.6603,-69.8736,-521.49,84,92,1.1,BR,1702254440
244,kushiro,42.975,144.3747,-546.77,47,20,5.14,JP,1702254440
245,san mariano,7.5,126.0,-520.8899999999999,79,50,1.41,PH,1702254441
246,vila velha,-20.3297,-40.2925,-521.3299999999999,83,75,1.54,BR,1702254441
247,kaa-khem,51.6833,94.7333,-580.52,98,97,0.53,RU,1702254035
248,alofi,-19.0595,-169.9187,-521.36,94,100,5.66,NU,1702253726
249,"laikit, laikit ii (dimembe)",1.4792,124.9735,-517.8299999999999,74,20,1.03,ID,1702254442
250,pavilosta,56.8879,21.1859,-547.3499999999999,91,100,7.05,LV,1702254442
251,viradouro,-20.8731,-48.2969,-524.13,86,89,3.57,BR,1702254443
252,bonthe,7.5264,-12.505,-519.5,81,62,2.8,SL,1702254443
253,taoudenni,22.6783,-3.9836,-528.13,24,100,7.78,ML,1702254169
254,nouadhibou,20.931,-17.0347,-524.31,43,0,4.63,MR,1702254444
255,mizan teferi,6.9833,35.5833,-529.8299999999999,88,31,1.24,ET,1702254444
256,kuala belait,4.5833,114.1833,-521.2099999999999,85,95,1.4,BN,1702254444
257,onega,63.9061,38.1404,-559.55,91,100,4.93,RU,1702254445
258,ilulissat,69.2167,-51.1,-548.29,74,100,6.17,GL,1702253912
259,san patricio,28.017,-97.5169,-531.38,25,0,2.59,US,1702253995
260,tura,25.5198,90.2201,-532.5,59,0,1.59,IN,1702253860
261,dhidhdhoo,6.8833,73.1,-518.24,79,97,4.9,MV,1702254446
262,afaahiti,-17.75,-149.2833,-516.37,82,83,11.07,PF,1702253986
263,tataouine,32.9297,10.4518,-534.19,52,0,6.96,TN,1702254447
264,westport,41.1415,-73.3579,-530.42,92,100,8.23,US,1702254447
265,troitsko-pechorsk,62.7084,56.1964,-577.03,100,79,0.45,RU,1702254447
266,pitimbu,-7.4706,-34.8086,-519.9699999999999,67,77,2.29,BR,1702254448
267,sao joao da barra,-21.6403,-41.0511,-523.25,80,47,2.71,BR,1702254098
268,papao,-17.75,-149.55,-515.4799999999999,83,51,12.44,PF,1702254449
269,terrace,54.5163,-128.6035,-544.3499999999999,93,100,0.0,CA,1702254449
270,gemena,3.25,19.7667,-523.5699999999999,83,71,0.99,CD,1702254449
271,strathalbyn,-35.2667,138.9,-523.5699999999999,98,81,6.14,AU,1702254450
272,okha,53.5739,142.9478,-565.9899999999999,90,100,11.09,RU,1702253934
273,sur,22.5667,59.5289,-523.86,55,10,1.28,OM,1702254450
274,weno,7.4515,151.8468,-516.3299999999999,74,75,4.12,FM,1702253884
275,onguday,50.75,86.15,-567.1999999999999,91,11,1.39,RU,1702254451
276,inhambane,-23.865,35.3833,-520.61,93,62,4.5,MZ,1702254451
277,padang,-0.9492,100.3543,-520.27,88,51,0.76,ID,1702254452
278,usogorsk,63.4106,48.6872,-567.04,93,100,4.12,RU,1702253846
279,mitu,1.1983,-70.1733,-522.49,91,19,0.6,CO,1702254452
280,crucecita,-28.95,-58.9833,-526.05,74,0,3.15,AR,1702254080
281,trapani,37.8333,12.6667,-531.25,88,0,4.12,IT,1702254453
282,port shepstone,-30.7414,30.455,-527.0899999999999,83,100,3.11,ZA,1702254206
283,malvan,16.0667,73.4667,-521.3899999999999,67,25,2.47,IN,1702254453
284,wagenfeld,52.55,8.5833,-535.6399999999999,80,97,9.47,DE,1702254454
285,cooma,-36.2333,149.1333,-522.17,58,100,3.33,AU,1702254454
286,hasaki,35.7333,140.8333,-532.25,66,100,1.43,JP,1702254178
287,cradock,-32.1642,25.6192,-534.7299999999999,80,65,1.68,ZA,1702254455
288,vila franca do campo,37.7167,-25.4333,-528.03,99,100,4.36,PT,1702253976
289,viedma,-40.8135,-62.9967,-524.6399999999999,38,39,8.31,AR,1702253942
290,cabo san lucas,22.8909,-109.9124,-518.13,48,0,5.14,MX,1702253821
291,lasem,-6.6922,111.4527,-520.27,82,100,3.22,ID,1702254456
292,quellon,-43.1167,-73.6167,-533.13,83,99,2.42,CL,1702253888
293,chibougamau,49.9168,-74.3659,-549.51,93,100,4.12,CA,1702253808
294,palangkaraya,-2.2,113.8333,-522.12,95,100,0.3,ID,1702254457
295,mishelevka,52.8575,103.1719,-579.7199999999999,100,18,0.69,RU,1702254457
296,aykhal,66.0,111.5,-574.3399999999999,99,100,2.46,RU,1702253868
297,skien,59.2075,9.6105,-546.87,90,100,4.81,NO,1702254458
298,broome,42.2506,-75.833,-540.9799999999999,95,100,5.14,US,1702254458
299,adam,22.3756,57.5233,-529.88,71,8,2.1,OM,1702254458
300,magomeni,-6.8,39.25,-521.0,90,93,1.89,TZ,1702254459
301,tadine,-21.55,167.8833,-521.05,57,96,7.0,NC,1702254459
302,chilliwack,49.1747,-121.9443,-539.63,99,100,0.89,CA,1702254297
303,saint-pierre,-21.3393,55.4781,-522.4799999999999,78,75,1.54,RE,1702253850
304,longboat key,27.4125,-82.659,-526.8499999999999,67,20,0.89,US,1702253979
305,corner brook,48.9667,-57.9484,-549.2099999999999,90,100,2.58,CA,1702254254
306,zanzibar,-6.1639,39.1979,-521.18,89,78,2.47,TZ,1702254461
307,ad dawadimi,24.5077,44.3924,-533.6599999999999,24,60,4.63,SA,1702254461
308,peace river,56.2501,-117.286,-546.13,59,75,3.6,CA,1702254461
309,south bend,41.6834,-86.25,-544.19,95,100,3.09,US,1702254233
310,labrador city,52.9463,-66.9114,-547.3499999999999,93,100,5.14,CA,1702253712
311,saint helena,-15.95,-5.7,-527.12,77,47,7.66,SH,1702254462
312,miles city,46.4083,-105.8406,-543.76,64,0,3.6,US,1702254083
313,bathsheba,13.2167,-59.5167,-519.9599999999999,83,75,8.23,BB,1702254463
314,chai buri,8.4622,99.0763,-521.4399999999999,97,50,1.05,TH,1702254463
315,bumba,2.1833,22.4667,-523.27,92,100,0.7,CD,1702254121
316,las tablas,7.7667,-80.2833,-518.9799999999999,99,30,1.13,PA,1702254464
